#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)","Time Remaining"
45.0%,27,-275.9011967055883,190.16586823550293,-85.73532847008536,371.8970685743182,8.0,0.05235150231209444,0.0182,0:31
46.7%,28,-275.92598691405465,190.1943950920043,-85.73159182205035,371.9528569994806,8.0,0.05235150231209444,0.0182,0:30
48.3%,29,-274.57465402646903,188.85246137025558,-85.72219265621345,369.3285100440042,8.0,0.05235150231209444,0.0182,0:29
50.0%,30,-271.9684233390217,186.26037668067343,-85.70804665834825,364.259310684011,8.0,0.05235150231209444,0.0182,0:28
51.7%,31,-268.3078400881518,182.61762158683277,-85.69021850131904,357.13537223226,8.0,0.05235150231209444,0.0182,0:27
53.3%,32,-263.8559926478832,178.18611047947104,-85.66988216841219,348.4689064491291,8.0,0.05235150231209444,0.0182,0:26
55.0%,33,-258.91973933719254,173.27144669633697,-85.64829264085557,338.8575651977515,8.0,0.05235150231209444,0.0182,0:25
56.7%,34,-253.82948379441783,168.2027351877776,-85.62674860664023,328.94496116963177,8.0,0.05235150231209444,0.0182,0:24
58.3%,35,-248.91818202695725,163.3116426965759,-85.60653933038137,319.3797170147178,8.0,0.05235150231209444,0.0182,0:23
60.0%,36,-244.50048978152336,158.9116139780522,-85.58887580347115,310.7748196309492,8.0,0.05235150231209444,0.0183,0:22
61.7%,37,-240.85317928963178,155.27836557464605,-85.57481371498574,303.66947289777124,8.0,0.05235150231209444,0.0183,0:21
63.3%,38,-238.1980600727839,152.6328789370692,-85.56518113571471,298.4958382461052,8.0,0.05235150231209444,0.0183,0:20
65.0%,39,-236.68855270529932,151.1280282081614,-85.56052449713792,295.55288334091864,8.0,0.05235150231209444,0.0183,0:19
66.7%,40,-236.4007782197921,150.83969634610162,-85.56108187369048,294.9890083655008,8.0,0.05235150231209444,0.0183,0:18
68.3%,41,-237.32960612809774,151.7628213282524,-85.56678479984535,296.7943137968858,8.0,0.05235150231209444,0.0183,0:17
70.0%,42,-239.3896637781275,153.8123811545593,-85.57728262356821,300.8025267235466,8.0,0.05235150231209444,0.0183,0:17
71.7%,43,-242.42095434692868,156.8289744349502,-85.59197991197848,306.70191449732437,8.0,0.05235150231209444,0.0183,0:16
73.3%,44,-246.1985132618061,160.58843519369157,-85.61007806811455,314.05408788453093,8.0,0.05235150231209444,0.0183,0:15
75.0%,45,-250.44544690023832,164.81483168249503,-85.6306152177433,322.31942213932103,8.0,0.05235150231209444,0.0183,0:14
76.7%,46,-254.8487078367525,169.1962096711596,-85.6524981655929,330.8878453028433,8.0,0.05235150231209444,0.0183,0:13
78.3%,47,-259.0770486107574,173.40252259019005,-85.67452602056736,339.11390321012476,8.0,0.05235150231209444,0.0183,0:12
80.0%,48,-262.80074015984917,177.10533579208214,-85.69540436776703,346.3552940445545,8.0,0.05235150231209444,0.0183,0:11
81.7%,49,-265.7127911356987,179.99908419878545,-85.71370693691324,352.0144407654152,8.0,0.05235150231209444,0.0183,0:10
83.3%,50,-267.55171794377156,181.82379547184456,-85.727922471927,355.58292957858544,8.0,0.05235150231209444,0.0183,0:09
85.0%,51,-268.12551523114337,182.38905387212375,-85.73646135901961,356.68837475653135,8.0,0.05235150231209444,0.0183,0:08
86.7%,52,-267.3360949388931,181.5982970188943,-85.7377979199988,355.1419344915155,8.0,0.05235150231209444,0.0183,0:07
88.3%,53,-265.2018561238208,179.47110704227742,-85.73074908154337,350.98190449273153,8.0,0.05235150231209444,0.0183,0:06
90.0%,54,-261.87402041455164,176.15912047717424,-85.7148999373774,344.50483210246415,8.0,0.05235150231209444,0.0183,0:05
91.7%,55,-257.6403545780145,171.94926978213334,-85.69108479588118,336.2718555586273,8.0,0.05235150231209444,0.0183,0:04
93.3%,56,-252.90935147356672,167.247630755999,-85.6617207175677,327.0771152640725,8.0,0.05235150231209444,0.0183,0:03
95.0%,57,-248.170414785341,162.53967177399016,-85.63074301135083,317.8700153747858,8.0,0.05235150231209444,0.0183,0:02
96.7%,58,-243.9316958621247,158.3287741083395,-85.60292175378521,309.6349913273445,8.0,0.05235150231209444,0.0183,0:01
98.3%,59,-240.6458589235775,155.06309274101554,-85.58276618256195,303.2484754994804,8.0,0.05235150231209444,0.0183,0:00
100.0%,60,-238.64079154802255,153.06754332350835,-85.5732482245142,299.34588779826873,8.0,0.05235150231209444,0.0183,0:00
